complaint_id,date_complaint,date_resolved,category,zone,priority,department,citizen_satisfaction,complaint_text,resolution_delay,severity_score,complaint_month,complaint_month_name,complaint_day_of_week,complaint_week
CMP001020,2024-04-04,2024-04-06,Public Safety,Central Zone,Low,Police Department,4,Suspicious activity in Central Zone,2,1,4,April,Thursday,14
CMP001021,2024-10-31,2024-11-29,Traffic Congestion,North Zone,Low,Traffic Department,3,Road blocked due to congestion in North Zone,29,1,10,October,Thursday,44
CMP001022,2024-03-09,2024-03-24,Street Light Failure,South Zone,Low,Electricity Department,2,Faulty street lamp in South Zone,15,1,3,March,Saturday,10
CMP001023,2024-11-13,2024-11-25,Water Supply,South Zone,Low,Water Department,3,Water supply irregular in South Zone,12,1,11,November,Wednesday,46
CMP001024,2024-08-23,2024-08-28,Water Supply,South Zone,Medium,Water Department,4,Water supply irregular in South Zone,5,2,8,August,Friday,34
CMP001025,2024-11-29,2024-12-27,Street Light Failure,East Zone,Medium,Electricity Department,1,Street light not working for a week in East Zone,28,2,11,November,Friday,48
CMP001026,2024-05-16,2024-06-05,Garbage Collection,Central Zone,Low,Sanitation Department,2,Overflowing trash bins in Central Zone,20,1,5,May,Thursday,20
CMP001027,2024-03-16,2024-04-14,Garbage Collection,Central Zone,Low,Sanitation Department,1,Overflowing trash bins in Central Zone,29,1,3,March,Saturday,11
CMP001028,2024-02-04,2024-02-11,Street Light Failure,South Zone,Medium,Electricity Department,5,Street light not working for a week in South Zone,7,2,2,February,Sunday,5
CMP001029,2024-01-01,2024-01-25,Road Damage,East Zone,Low,Roads Department,2,Road cracking in East Zone,24,1,1,January,Monday,1
CMP001030,2024-10-22,2024-11-12,Water Supply,West Zone,High,Water Department,2,Low water pressure in West Zone,21,3,10,October,Tuesday,43
CMP001031,2024-11-15,2024-11-25,Garbage Collection,North Zone,Low,Sanitation Department,3,Missed garbage pickup in North Zone,10,1,11,November,Friday,46
CMP001032,2024-02-29,2024-03-14,Water Supply,West Zone,Medium,Water Department,4,No water since morning in West Zone,14,2,2,February,Thursday,9
CMP001033,2024-11-15,2024-11-29,Traffic Congestion,Central Zone,High,Traffic Department,3,Signal not working in Central Zone,14,3,11,November,Friday,46
CMP001034,2024-12-14,2024-12-19,Garbage Collection,Central Zone,Medium,Sanitation Department,5,Garbage not collected for 3 days in Central Zone,5,2,12,December,Saturday,50
CMP001035,2024-11-23,2024-12-11,Garbage Collection,South Zone,Low,Sanitation Department,2,Garbage not collected for 3 days in South Zone,18,1,11,November,Saturday,47
CMP001036,2024-09-23,2024-10-17,Street Light Failure,East Zone,Medium,Electricity Department,1,Faulty street lamp in East Zone,24,2,9,September,Monday,39
CMP001037,2024-12-26,2025-01-09,Public Safety,North Zone,Medium,Police Department,3,Missing street signs in North Zone,14,2,12,December,Thursday,52
CMP001038,2024-08-16,2024-08-18,Road Damage,South Zone,Medium,Roads Department,5,Road cracking in South Zone,2,2,8,August,Friday,33
CMP001039,2024-09-26,2024-10-22,Garbage Collection,East Zone,Low,Sanitation Department,3,Missed garbage pickup in East Zone,26,1,9,September,Thursday,39
CMP001040,2024-11-11,2024-11-23,Water Supply,Central Zone,Medium,Water Department,3,Low water pressure in Central Zone,12,2,11,November,Monday,46
CMP001041,2024-10-12,2024-11-03,Drainage Problem,Central Zone,Low,Drainage Department,2,Blocked drain causing water logging in Central Zone,22,1,10,October,Saturday,41
CMP001042,2024-10-17,2024-11-10,Garbage Collection,Central Zone,Low,Sanitation Department,1,Missed garbage pickup in Central Zone,24,1,10,October,Thursday,42
CMP001043,2024-07-31,2024-08-06,Road Damage,Central Zone,Medium,Roads Department,4,Uneven road surface in Central Zone,6,2,7,July,Wednesday,31
CMP001044,2024-06-13,2024-06-17,Water Supply,North Zone,Low,Water Department,5,No water since morning in North Zone,4,1,6,June,Thursday,24
CMP001045,2024-01-05,2024-01-18,Garbage Collection,West Zone,Medium,Sanitation Department,3,Garbage not collected for 3 days in West Zone,13,2,1,January,Friday,1
CMP001046,2024-12-04,2024-12-08,Traffic Congestion,North Zone,High,Traffic Department,3,Signal not working in North Zone,4,3,12,December,Wednesday,49
CMP001047,2024-03-18,2024-04-09,Traffic Congestion,South Zone,High,Traffic Department,1,Road blocked due to congestion in South Zone,22,3,3,March,Monday,12
CMP001048,2024-03-02,2024-03-16,Street Light Failure,East Zone,Medium,Electricity Department,3,Street light not working for a week in East Zone,14,2,3,March,Saturday,9
CMP001049,2024-05-11,2024-05-27,Garbage Collection,West Zone,Low,Sanitation Department,2,Missed garbage pickup in West Zone,16,1,5,May,Saturday,19
CMP001050,2024-03-29,2024-04-27,Garbage Collection,West Zone,Low,Sanitation Department,3,Overflowing trash bins in West Zone,29,1,3,March,Friday,13
CMP001051,2024-08-24,2024-08-28,Road Damage,North Zone,Low,Roads Department,3,Road cracking in North Zone,4,1,8,August,Saturday,34
CMP001052,2024-02-11,2024-03-06,Road Damage,North Zone,Low,Roads Department,2,Uneven road surface in North Zone,24,1,2,February,Sunday,6
CMP001053,2024-03-29,2024-04-23,Garbage Collection,North Zone,Low,Sanitation Department,2,Overflowing trash bins in North Zone,25,1,3,March,Friday,13
CMP001054,2024-10-22,2024-10-23,Garbage Collection,North Zone,Medium,Sanitation Department,5,Garbage not collected for 3 days in North Zone,1,2,10,October,Tuesday,43
CMP001055,2024-11-23,2024-12-06,Garbage Collection,North Zone,Low,Sanitation Department,3,Garbage not collected for 3 days in North Zone,13,1,11,November,Saturday,47
CMP001056,2024-10-21,2024-10-25,Public Safety,West Zone,Low,Police Department,4,Suspicious activity in West Zone,4,1,10,October,Monday,43
CMP001057,2024-04-13,2024-05-03,Traffic Congestion,West Zone,Medium,Traffic Department,2,Signal not working in West Zone,20,2,4,April,Saturday,15
CMP001058,2024-01-14,2024-02-01,Drainage Problem,East Zone,Low,Drainage Department,2,Sewage overflow in East Zone,18,1,1,January,Sunday,2
CMP001059,2024-10-14,2024-10-20,Garbage Collection,West Zone,Low,Sanitation Department,4,Missed garbage pickup in West Zone,6,1,10,October,Monday,42
CMP001060,2024-06-27,2024-06-30,Public Safety,North Zone,Low,Police Department,4,Missing street signs in North Zone,3,1,6,June,Thursday,26
CMP001061,2024-05-04,2024-05-27,Garbage Collection,Central Zone,Medium,Sanitation Department,2,Missed garbage pickup in Central Zone,23,2,5,May,Saturday,18
CMP001062,2024-12-18,2024-12-31,Road Damage,South Zone,Medium,Roads Department,3,Uneven road surface in South Zone,13,2,12,December,Wednesday,51
CMP001063,2024-01-23,2024-02-19,Traffic Congestion,West Zone,Medium,Traffic Department,1,Signal not working in West Zone,27,2,1,January,Tuesday,4
CMP001064,2024-03-03,2024-03-19,Water Supply,Central Zone,Low,Water Department,2,Low water pressure in Central Zone,16,1,3,March,Sunday,9
CMP001065,2024-05-22,2024-06-18,Water Supply,Central Zone,Medium,Water Department,2,No water since morning in Central Zone,27,2,5,May,Wednesday,21
CMP001066,2024-06-01,2024-06-06,Garbage Collection,North Zone,Medium,Sanitation Department,5,Overflowing trash bins in North Zone,5,2,6,June,Saturday,22
CMP001067,2024-05-24,2024-05-28,Garbage Collection,West Zone,Low,Sanitation Department,3,Overflowing trash bins in West Zone,4,1,5,May,Friday,21
CMP001068,2024-08-12,2024-09-02,Street Light Failure,North Zone,Low,Electricity Department,3,Street light not working for a week in North Zone,21,1,8,August,Monday,33
CMP001069,2024-11-04,2024-11-12,Street Light Failure,North Zone,Medium,Electricity Department,2,Dark area at night in North Zone,8,2,11,November,Monday,45
CMP001070,2024-04-13,2024-05-02,Traffic Congestion,North Zone,Low,Traffic Department,1,Signal not working in North Zone,19,1,4,April,Saturday,15
CMP001071,2024-04-13,2024-04-27,Road Damage,Central Zone,Medium,Roads Department,4,Uneven road surface in Central Zone,14,2,4,April,Saturday,15
CMP001072,2024-02-08,2024-02-15,Street Light Failure,Central Zone,Low,Electricity Department,5,Street light not working for a week in Central Zone,7,1,2,February,Thursday,6
CMP001073,2024-07-16,2024-07-30,Garbage Collection,South Zone,Medium,Sanitation Department,2,Overflowing trash bins in South Zone,14,2,7,July,Tuesday,29
CMP001074,2024-05-13,2024-05-19,Garbage Collection,East Zone,Low,Sanitation Department,5,Overflowing trash bins in East Zone,6,1,5,May,Monday,20
CMP001075,2024-03-07,2024-03-19,Public Safety,Central Zone,Low,Police Department,3,Unsafe area at night in Central Zone,12,1,3,March,Thursday,10
CMP001076,2024-06-27,2024-07-13,Garbage Collection,East Zone,Low,Sanitation Department,2,Missed garbage pickup in East Zone,16,1,6,June,Thursday,26
CMP001077,2024-02-11,2024-02-28,Street Light Failure,South Zone,High,Electricity Department,1,Faulty street lamp in South Zone,17,3,2,February,Sunday,6
CMP001078,2024-01-15,2024-01-28,Garbage Collection,East Zone,High,Sanitation Department,3,Garbage not collected for 3 days in East Zone,13,3,1,January,Monday,3
CMP001079,2024-04-20,2024-05-13,Street Light Failure,West Zone,Medium,Electricity Department,2,Street light not working for a week in West Zone,23,2,4,April,Saturday,16
CMP001080,2024-06-05,2024-06-19,Street Light Failure,East Zone,Medium,Electricity Department,3,Dark area at night in East Zone,14,2,6,June,Wednesday,23
CMP001081,2024-10-15,2024-11-13,Garbage Collection,West Zone,Low,Sanitation Department,2,Missed garbage pickup in West Zone,29,1,10,October,Tuesday,42
CMP001082,2024-08-18,2024-08-25,Garbage Collection,East Zone,Medium,Sanitation Department,4,Missed garbage pickup in East Zone,7,2,8,August,Sunday,33
CMP001083,2024-06-05,2024-06-19,Street Light Failure,South Zone,Low,Electricity Department,4,Street light not working for a week in South Zone,14,1,6,June,Wednesday,23
CMP001084,2024-02-07,2024-02-22,Water Supply,South Zone,Low,Water Department,1,Low water pressure in South Zone,15,1,2,February,Wednesday,6
CMP001085,2024-04-06,2024-04-18,Garbage Collection,North Zone,Low,Sanitation Department,2,Missed garbage pickup in North Zone,12,1,4,April,Saturday,14
CMP001086,2024-10-15,2024-11-01,Traffic Congestion,East Zone,Low,Traffic Department,2,Signal not working in East Zone,17,1,10,October,Tuesday,42
CMP001087,2024-09-10,2024-09-19,Garbage Collection,North Zone,Low,Sanitation Department,2,Garbage not collected for 3 days in North Zone,9,1,9,September,Tuesday,37
CMP001088,2024-07-14,2024-08-05,Drainage Problem,West Zone,Low,Drainage Department,2,Drainage pipe broken in West Zone,22,1,7,July,Sunday,28
CMP001089,2024-03-26,2024-04-10,Road Damage,East Zone,Low,Roads Department,2,Uneven road surface in East Zone,15,1,3,March,Tuesday,13
CMP001090,2024-11-17,2024-11-29,Garbage Collection,West Zone,Medium,Sanitation Department,3,Overflowing trash bins in West Zone,12,2,11,November,Sunday,46
CMP001091,2024-01-10,2024-01-12,Street Light Failure,Central Zone,Low,Electricity Department,5,Faulty street lamp in Central Zone,2,1,1,January,Wednesday,2
CMP001092,2024-01-05,2024-01-10,Road Damage,West Zone,Low,Roads Department,4,Large pothole on main road in West Zone,5,1,1,January,Friday,1
CMP001093,2024-05-02,2024-05-15,Water Supply,Central Zone,High,Water Department,3,Water supply irregular in Central Zone,13,3,5,May,Thursday,18
CMP001094,2024-11-25,2024-12-22,Water Supply,East Zone,Low,Water Department,1,Water supply irregular in East Zone,27,1,11,November,Monday,48
CMP001095,2024-12-18,2025-01-07,Water Supply,North Zone,High,Water Department,1,Low water pressure in North Zone,20,3,12,December,Wednesday,51
CMP001096,2024-04-27,2024-05-20,Garbage Collection,Central Zone,Medium,Sanitation Department,2,Garbage not collected for 3 days in Central Zone,23,2,4,April,Saturday,17
CMP001097,2024-10-20,2024-10-28,Garbage Collection,Central Zone,Low,Sanitation Department,3,Missed garbage pickup in Central Zone,8,1,10,October,Sunday,42
CMP001098,2024-06-07,2024-07-04,Water Supply,Central Zone,Low,Water Department,2,No water since morning in Central Zone,27,1,6,June,Friday,23
CMP001099,2024-10-29,2024-11-12,Garbage Collection,West Zone,Low,Sanitation Department,4,Overflowing trash bins in West Zone,14,1,10,October,Tuesday,44
CMP001100,2024-08-15,2024-08-30,Street Light Failure,West Zone,Low,Electricity Department,1,Street light not working for a week in West Zone,15,1,8,August,Thursday,33
CMP001101,2024-12-30,2025-01-10,Street Light Failure,North Zone,Low,Electricity Department,2,Faulty street lamp in North Zone,11,1,12,December,Monday,1
CMP001102,2024-08-03,2024-08-04,Road Damage,West Zone,Low,Roads Department,5,Uneven road surface in West Zone,1,1,8,August,Saturday,31
CMP001103,2024-07-02,2024-07-23,Traffic Congestion,North Zone,Low,Traffic Department,1,Road blocked due to congestion in North Zone,21,1,7,July,Tuesday,27
CMP001104,2024-01-15,2024-01-18,Drainage Problem,South Zone,Medium,Drainage Department,5,Sewage overflow in South Zone,3,2,1,January,Monday,3
CMP001105,2024-06-05,2024-06-22,Road Damage,East Zone,Low,Roads Department,3,Road cracking in East Zone,17,1,6,June,Wednesday,23
CMP001106,2024-05-15,2024-06-12,Street Light Failure,East Zone,Medium,Electricity Department,3,Street light not working for a week in East Zone,28,2,5,May,Wednesday,20
CMP001107,2024-09-17,2024-10-06,Water Supply,North Zone,Low,Water Department,2,No water since morning in North Zone,19,1,9,September,Tuesday,38
CMP001108,2024-06-05,2024-06-19,Drainage Problem,West Zone,Medium,Drainage Department,2,Blocked drain causing water logging in West Zone,14,2,6,June,Wednesday,23
CMP001109,2024-02-16,2024-03-09,Garbage Collection,Central Zone,Low,Sanitation Department,2,Garbage not collected for 3 days in Central Zone,22,1,2,February,Friday,7
CMP001110,2024-11-19,2024-12-12,Water Supply,West Zone,Medium,Water Department,2,Low water pressure in West Zone,23,2,11,November,Tuesday,47
CMP001111,2024-11-27,2024-12-05,Street Light Failure,East Zone,Low,Electricity Department,2,Street light not working for a week in East Zone,8,1,11,November,Wednesday,48
CMP001112,2024-06-21,2024-07-04,Garbage Collection,Central Zone,Medium,Sanitation Department,4,Garbage not collected for 3 days in Central Zone,13,2,6,June,Friday,25
CMP001113,2024-05-09,2024-06-05,Garbage Collection,North Zone,Low,Sanitation Department,1,Garbage not collected for 3 days in North Zone,27,1,5,May,Thursday,19
CMP001114,2024-04-04,2024-04-24,Road Damage,West Zone,Low,Roads Department,2,Large pothole on main road in West Zone,20,1,4,April,Thursday,14
CMP001115,2024-04-24,2024-04-27,Road Damage,North Zone,Low,Roads Department,5,Road cracking in North Zone,3,1,4,April,Wednesday,17
CMP001116,2024-08-30,2024-09-04,Traffic Congestion,South Zone,Low,Traffic Department,3,Road blocked due to congestion in South Zone,5,1,8,August,Friday,35
CMP001117,2024-10-18,2024-10-27,Traffic Congestion,East Zone,Low,Traffic Department,3,Heavy traffic jam in East Zone,9,1,10,October,Friday,42
CMP001118,2024-10-08,2024-11-06,Garbage Collection,West Zone,Low,Sanitation Department,1,Missed garbage pickup in West Zone,29,1,10,October,Tuesday,41
CMP001119,2024-10-25,2024-10-31,Garbage Collection,North Zone,Low,Sanitation Department,3,Garbage not collected for 3 days in North Zone,6,1,10,October,Friday,43
CMP001120,2024-10-09,2024-11-03,Street Light Failure,South Zone,Low,Electricity Department,1,Street light not working for a week in South Zone,25,1,10,October,Wednesday,41
CMP001121,2024-03-09,2024-03-31,Water Supply,East Zone,Medium,Water Department,1,Low water pressure in East Zone,22,2,3,March,Saturday,10
CMP001122,2024-05-27,2024-05-29,Street Light Failure,East Zone,High,Electricity Department,4,Faulty street lamp in East Zone,2,3,5,May,Monday,22
CMP001123,2024-01-11,2024-01-24,Garbage Collection,West Zone,Low,Sanitation Department,4,Garbage not collected for 3 days in West Zone,13,1,1,January,Thursday,2
CMP001124,2024-09-10,2024-09-15,Road Damage,South Zone,Medium,Roads Department,5,Uneven road surface in South Zone,5,2,9,September,Tuesday,37
CMP001125,2024-11-25,2024-12-23,Road Damage,East Zone,Medium,Roads Department,2,Uneven road surface in East Zone,28,2,11,November,Monday,48
CMP001126,2024-12-25,2025-01-21,Road Damage,North Zone,Low,Roads Department,1,Uneven road surface in North Zone,27,1,12,December,Wednesday,52
CMP001127,2024-02-07,2024-03-03,Road Damage,North Zone,Low,Roads Department,1,Road cracking in North Zone,25,1,2,February,Wednesday,6
CMP001128,2024-05-13,2024-05-21,Road Damage,East Zone,Low,Roads Department,4,Large pothole on main road in East Zone,8,1,5,May,Monday,20
CMP001129,2024-07-18,2024-08-10,Water Supply,West Zone,High,Water Department,2,No water since morning in West Zone,23,3,7,July,Thursday,29
CMP001130,2024-01-23,2024-01-24,Garbage Collection,North Zone,Low,Sanitation Department,5,Overflowing trash bins in North Zone,1,1,1,January,Tuesday,4
CMP001131,2024-10-29,2024-11-18,Garbage Collection,North Zone,Medium,Sanitation Department,1,Overflowing trash bins in North Zone,20,2,10,October,Tuesday,44
CMP001132,2024-12-11,2024-12-23,Water Supply,East Zone,Medium,Water Department,4,Low water pressure in East Zone,12,2,12,December,Wednesday,50
CMP001133,2024-10-28,2024-11-20,Water Supply,South Zone,Low,Water Department,2,Water supply irregular in South Zone,23,1,10,October,Monday,44
CMP001134,2024-12-28,2025-01-08,Road Damage,South Zone,Low,Roads Department,4,Uneven road surface in South Zone,11,1,12,December,Saturday,52
CMP001135,2024-08-05,2024-08-12,Water Supply,East Zone,Medium,Water Department,4,No water since morning in East Zone,7,2,8,August,Monday,32
CMP001136,2024-05-20,2024-06-04,Street Light Failure,North Zone,Low,Electricity Department,2,Street light not working for a week in North Zone,15,1,5,May,Monday,21
CMP001137,2024-04-13,2024-05-05,Drainage Problem,North Zone,Low,Drainage Department,2,Drainage pipe broken in North Zone,22,1,4,April,Saturday,15
CMP001138,2024-07-28,2024-08-21,Water Supply,Central Zone,Low,Water Department,3,Water supply irregular in Central Zone,24,1,7,July,Sunday,30
CMP001139,2024-04-20,2024-05-01,Garbage Collection,West Zone,High,Sanitation Department,3,Overflowing trash bins in West Zone,11,3,4,April,Saturday,16
CMP001140,2024-04-13,2024-05-12,Garbage Collection,West Zone,Low,Sanitation Department,1,Missed garbage pickup in West Zone,29,1,4,April,Saturday,15
CMP001141,2024-11-11,2024-12-03,Street Light Failure,East Zone,Medium,Electricity Department,2,Street light not working for a week in East Zone,22,2,11,November,Monday,46
CMP001142,2024-06-19,2024-07-15,Water Supply,West Zone,Low,Water Department,1,No water since morning in West Zone,26,1,6,June,Wednesday,25
CMP001143,2024-12-21,2025-01-06,Garbage Collection,Central Zone,Low,Sanitation Department,2,Overflowing trash bins in Central Zone,16,1,12,December,Saturday,51
CMP001144,2024-11-19,2024-11-22,Street Light Failure,West Zone,High,Electricity Department,5,Dark area at night in West Zone,3,3,11,November,Tuesday,47
CMP001145,2024-05-12,2024-06-01,Garbage Collection,South Zone,Medium,Sanitation Department,2,Garbage not collected for 3 days in South Zone,20,2,5,May,Sunday,19
CMP001146,2024-10-19,2024-11-02,Road Damage,East Zone,Low,Roads Department,3,Uneven road surface in East Zone,14,1,10,October,Saturday,42
CMP001147,2024-11-23,2024-11-26,Road Damage,East Zone,Medium,Roads Department,5,Uneven road surface in East Zone,3,2,11,November,Saturday,47
CMP001148,2024-05-06,2024-05-07,Traffic Congestion,East Zone,Low,Traffic Department,5,Signal not working in East Zone,1,1,5,May,Monday,19
CMP001149,2024-04-15,2024-05-11,Garbage Collection,East Zone,Medium,Sanitation Department,3,Missed garbage pickup in East Zone,26,2,4,April,Monday,16
CMP001150,2024-04-01,2024-04-22,Drainage Problem,Central Zone,Low,Drainage Department,2,Drainage pipe broken in Central Zone,21,1,4,April,Monday,14
CMP001151,2024-10-13,2024-10-28,Street Light Failure,West Zone,Medium,Electricity Department,2,Street light not working for a week in West Zone,15,2,10,October,Sunday,41
CMP001152,2024-02-20,2024-02-21,Garbage Collection,North Zone,Medium,Sanitation Department,5,Garbage not collected for 3 days in North Zone,1,2,2,February,Tuesday,8
CMP001153,2024-01-29,2024-02-15,Garbage Collection,North Zone,Low,Sanitation Department,2,Overflowing trash bins in North Zone,17,1,1,January,Monday,5
CMP001154,2024-10-22,2024-10-24,Water Supply,East Zone,High,Water Department,5,No water since morning in East Zone,2,3,10,October,Tuesday,43
CMP001155,2024-10-23,2024-11-21,Traffic Congestion,North Zone,High,Traffic Department,2,Road blocked due to congestion in North Zone,29,3,10,October,Wednesday,43
CMP001156,2024-08-01,2024-08-21,Drainage Problem,South Zone,Low,Drainage Department,2,Sewage overflow in South Zone,20,1,8,August,Thursday,31
CMP001157,2024-09-23,2024-09-29,Road Damage,South Zone,High,Roads Department,4,Uneven road surface in South Zone,6,3,9,September,Monday,39
CMP001158,2024-09-13,2024-09-21,Drainage Problem,South Zone,Medium,Drainage Department,3,Blocked drain causing water logging in South Zone,8,2,9,September,Friday,37
CMP001159,2024-10-28,2024-11-26,Garbage Collection,Central Zone,Medium,Sanitation Department,3,Missed garbage pickup in Central Zone,29,2,10,October,Monday,44
CMP001160,2024-04-10,2024-04-26,Garbage Collection,South Zone,High,Sanitation Department,2,Garbage not collected for 3 days in South Zone,16,3,4,April,Wednesday,15
CMP001161,2024-12-11,2024-12-30,Drainage Problem,South Zone,Low,Drainage Department,2,Blocked drain causing water logging in South Zone,19,1,12,December,Wednesday,50
CMP001162,2024-04-19,2024-04-20,Traffic Congestion,North Zone,Medium,Traffic Department,5,Heavy traffic jam in North Zone,1,2,4,April,Friday,16
CMP001163,2024-06-30,2024-07-03,Water Supply,East Zone,High,Water Department,5,Low water pressure in East Zone,3,3,6,June,Sunday,26
CMP001164,2024-11-08,2024-12-06,Traffic Congestion,North Zone,Low,Traffic Department,2,Signal not working in North Zone,28,1,11,November,Friday,45
CMP001165,2024-01-01,2024-01-04,Public Safety,West Zone,Low,Police Department,5,Missing street signs in West Zone,3,1,1,January,Monday,1
CMP001166,2024-11-14,2024-11-19,Traffic Congestion,North Zone,Low,Traffic Department,3,Heavy traffic jam in North Zone,5,1,11,November,Thursday,46
CMP001167,2024-02-24,2024-03-22,Drainage Problem,East Zone,Medium,Drainage Department,2,Drainage pipe broken in East Zone,27,2,2,February,Saturday,8
CMP001168,2024-05-28,2024-06-09,Traffic Congestion,West Zone,Medium,Traffic Department,3,Signal not working in West Zone,12,2,5,May,Tuesday,22
CMP001169,2024-11-04,2024-11-16,Garbage Collection,North Zone,Low,Sanitation Department,3,Missed garbage pickup in North Zone,12,1,11,November,Monday,45
CMP001170,2024-05-16,2024-06-05,Drainage Problem,East Zone,Low,Drainage Department,1,Blocked drain causing water logging in East Zone,20,1,5,May,Thursday,20
CMP001171,2024-07-20,2024-08-02,Garbage Collection,East Zone,Low,Sanitation Department,4,Garbage not collected for 3 days in East Zone,13,1,7,July,Saturday,29
CMP001172,2024-11-08,2024-11-28,Drainage Problem,West Zone,Low,Drainage Department,1,Blocked drain causing water logging in West Zone,20,1,11,November,Friday,45
CMP001173,2024-04-26,2024-05-05,Water Supply,East Zone,Medium,Water Department,4,No water since morning in East Zone,9,2,4,April,Friday,17
CMP001174,2024-06-02,2024-06-09,Street Light Failure,East Zone,Low,Electricity Department,5,Street light not working for a week in East Zone,7,1,6,June,Sunday,22
CMP001175,2024-10-17,2024-10-21,Road Damage,West Zone,Medium,Roads Department,4,Uneven road surface in West Zone,4,2,10,October,Thursday,42
CMP001176,2024-03-03,2024-03-22,Garbage Collection,East Zone,Medium,Sanitation Department,2,Garbage not collected for 3 days in East Zone,19,2,3,March,Sunday,9
CMP001177,2024-08-31,2024-09-22,Water Supply,South Zone,High,Water Department,2,Low water pressure in South Zone,22,3,8,August,Saturday,35
CMP001178,2024-01-25,2024-02-13,Public Safety,North Zone,Low,Police Department,1,Suspicious activity in North Zone,19,1,1,January,Thursday,4
CMP001179,2024-03-30,2024-04-05,Public Safety,West Zone,High,Police Department,3,Suspicious activity in West Zone,6,3,3,March,Saturday,13
CMP001180,2024-03-15,2024-04-11,Water Supply,Central Zone,Low,Water Department,1,No water since morning in Central Zone,27,1,3,March,Friday,11
CMP001181,2024-10-20,2024-11-02,Public Safety,Central Zone,Medium,Police Department,3,Unsafe area at night in Central Zone,13,2,10,October,Sunday,42
CMP001182,2024-07-28,2024-08-08,Drainage Problem,Central Zone,Medium,Drainage Department,2,Sewage overflow in Central Zone,11,2,7,July,Sunday,30
CMP001183,2024-12-12,2024-12-25,Street Light Failure,West Zone,Low,Electricity Department,3,Dark area at night in West Zone,13,1,12,December,Thursday,50
CMP001184,2024-01-17,2024-01-30,Garbage Collection,West Zone,Low,Sanitation Department,3,Overflowing trash bins in West Zone,13,1,1,January,Wednesday,3
CMP001185,2024-05-07,2024-06-04,Drainage Problem,West Zone,Low,Drainage Department,1,Drainage pipe broken in West Zone,28,1,5,May,Tuesday,19
CMP001186,2024-12-29,2025-01-23,Road Damage,East Zone,Medium,Roads Department,1,Uneven road surface in East Zone,25,2,12,December,Sunday,52
CMP001187,2024-09-07,2024-09-29,Drainage Problem,East Zone,Low,Drainage Department,3,Blocked drain causing water logging in East Zone,22,1,9,September,Saturday,36
CMP001188,2024-06-27,2024-07-25,Drainage Problem,South Zone,High,Drainage Department,2,Drainage pipe broken in South Zone,28,3,6,June,Thursday,26
CMP001189,2024-06-30,2024-07-20,Drainage Problem,South Zone,Low,Drainage Department,2,Sewage overflow in South Zone,20,1,6,June,Sunday,26
CMP001190,2024-05-31,2024-06-15,Street Light Failure,West Zone,High,Electricity Department,1,Dark area at night in West Zone,15,3,5,May,Friday,22
CMP001191,2024-01-25,2024-02-15,Water Supply,East Zone,Low,Water Department,2,Water supply irregular in East Zone,21,1,1,January,Thursday,4
CMP001192,2024-06-28,2024-07-11,Water Supply,North Zone,Low,Water Department,3,Water supply irregular in North Zone,13,1,6,June,Friday,26
CMP001193,2024-07-16,2024-08-07,Water Supply,North Zone,Low,Water Department,3,Low water pressure in North Zone,22,1,7,July,Tuesday,29
CMP001194,2024-12-09,2024-12-20,Garbage Collection,Central Zone,High,Sanitation Department,3,Overflowing trash bins in Central Zone,11,3,12,December,Monday,50
CMP001195,2024-06-09,2024-06-28,Road Damage,West Zone,Medium,Roads Department,3,Road cracking in West Zone,19,2,6,June,Sunday,23
CMP001196,2024-06-25,2024-07-03,Street Light Failure,East Zone,Low,Electricity Department,4,Dark area at night in East Zone,8,1,6,June,Tuesday,26
CMP001197,2024-10-11,2024-10-31,Drainage Problem,East Zone,Low,Drainage Department,2,Sewage overflow in East Zone,20,1,10,October,Friday,41
CMP001198,2024-03-03,2024-03-11,Garbage Collection,East Zone,Low,Sanitation Department,3,Missed garbage pickup in East Zone,8,1,3,March,Sunday,9
CMP001199,2024-05-29,2024-06-08,Road Damage,North Zone,Medium,Roads Department,4,Uneven road surface in North Zone,10,2,5,May,Wednesday,22
CMP001200,2024-06-02,2024-06-28,Garbage Collection,East Zone,Low,Sanitation Department,2,Garbage not collected for 3 days in East Zone,26,1,6,June,Sunday,22
CMP001201,2024-06-04,2024-06-20,Garbage Collection,West Zone,Medium,Sanitation Department,1,Garbage not collected for 3 days in West Zone,16,2,6,June,Tuesday,23
CMP001202,2024-02-18,2024-03-08,Garbage Collection,South Zone,Medium,Sanitation Department,2,Garbage not collected for 3 days in South Zone,19,2,2,February,Sunday,7
CMP001203,2024-12-02,2024-12-28,Street Light Failure,South Zone,High,Electricity Department,1,Faulty street lamp in South Zone,26,3,12,December,Monday,49
CMP001204,2024-03-24,2024-04-16,Garbage Collection,North Zone,Medium,Sanitation Department,2,Garbage not collected for 3 days in North Zone,23,2,3,March,Sunday,12
CMP001205,2024-12-26,2025-01-06,Street Light Failure,East Zone,Low,Electricity Department,3,Street light not working for a week in East Zone,11,1,12,December,Thursday,52
CMP001206,2024-06-25,2024-07-08,Garbage Collection,North Zone,High,Sanitation Department,4,Missed garbage pickup in North Zone,13,3,6,June,Tuesday,26
CMP001207,2024-05-27,2024-06-24,Drainage Problem,East Zone,Low,Drainage Department,2,Sewage overflow in East Zone,28,1,5,May,Monday,22
