complaint_id,date_complaint,date_resolved,category,zone,department,priority,citizen_satisfaction,resolution_delay
C00880,2024-07-25,2024-07-30,Lights,South,Water Dept,Low,2,5
C00881,2024-10-29,2024-11-20,Traffic,West,Safety Dept,Low,1,22
C00882,2024-05-06,2024-06-01,Lights,South,Safety Dept,Medium,1,26
C00883,2024-02-25,2024-02-29,Water,Central,Safety Dept,Medium,1,4
C00884,2024-08-01,2024-08-30,Safety,West,Drainage Dept,Low,5,29
C00885,2024-01-14,2024-01-26,Garbage,West,Sanitation,Low,4,12
C00886,2024-01-28,2024-01-30,Water,North,Safety Dept,Low,2,2
C00887,2024-03-18,2024-03-31,Lights,Central,Drainage Dept,Medium,1,13
C00888,2024-08-03,2024-08-13,Drainage,North,Roads Dept,Low,4,10
C00889,2024-12-30,2025-01-08,Garbage,North,Drainage Dept,Medium,4,9
C00890,2024-06-02,2024-06-12,Water,East,Safety Dept,Medium,4,10
C00891,2024-01-14,2024-01-21,Safety,North,Electric Dept,High,2,7
C00892,2024-07-05,2024-07-09,Traffic,South,Drainage Dept,Low,4,4
C00893,2024-11-07,2024-11-26,Water,West,Traffic Dept,Low,1,19
C00894,2024-01-07,2024-01-17,Drainage,North,Sanitation,Medium,1,10
C00895,2024-01-03,2024-01-06,Lights,South,Sanitation,Medium,3,3
C00896,2024-04-20,2024-05-15,Garbage,Central,Roads Dept,Low,5,25
C00897,2024-08-25,2024-09-15,Traffic,West,Drainage Dept,High,4,21
C00898,2024-12-28,2025-01-26,Garbage,Central,Roads Dept,Low,5,29
C00899,2024-08-26,2024-09-14,Traffic,South,Roads Dept,Low,5,19
C00900,2024-09-30,2024-10-21,Safety,Central,Electric Dept,Low,5,21
C00901,2024-10-20,2024-10-22,Garbage,Central,Water Dept,High,5,2
C00902,2024-08-14,2024-09-10,Lights,Central,Roads Dept,Low,5,27
C00903,2024-01-15,2024-02-04,Safety,North,Water Dept,Low,1,20
C00904,2024-07-10,2024-07-20,Safety,North,Water Dept,Low,2,10
C00905,2024-04-28,2024-04-30,Traffic,North,Sanitation,Medium,4,2
C00906,2024-01-28,2024-01-30,Road,West,Traffic Dept,High,4,2
C00907,2024-07-20,2024-08-17,Garbage,South,Traffic Dept,Low,1,28
C00908,2024-02-08,2024-03-03,Garbage,North,Drainage Dept,Low,1,24
C00909,2024-09-29,2024-10-16,Water,Central,Electric Dept,Low,5,17
C00910,2024-08-18,2024-09-03,Traffic,Central,Electric Dept,Medium,2,16
C00911,2024-03-26,2024-04-11,Drainage,Central,Traffic Dept,Low,4,16
C00912,2024-05-05,2024-05-19,Road,Central,Drainage Dept,High,3,14
C00913,2024-10-26,2024-11-02,Lights,East,Safety Dept,Low,1,7
C00914,2024-01-25,2024-02-15,Water,West,Traffic Dept,Low,3,21
C00915,2024-05-24,2024-06-04,Road,South,Drainage Dept,Low,4,11
C00916,2024-01-13,2024-02-06,Traffic,South,Drainage Dept,High,1,24
C00917,2024-07-30,2024-07-31,Road,North,Drainage Dept,Medium,4,1
C00918,2024-01-25,2024-02-05,Safety,East,Drainage Dept,High,1,11
C00919,2024-03-08,2024-03-31,Garbage,South,Sanitation,Low,4,23
C00920,2024-03-07,2024-03-28,Safety,West,Sanitation,Low,3,21
C00921,2024-08-20,2024-08-24,Garbage,Central,Traffic Dept,Medium,2,4
C00922,2024-04-18,2024-04-25,Water,North,Drainage Dept,Medium,1,7
C00923,2024-05-25,2024-06-20,Traffic,West,Roads Dept,Medium,3,26
C00924,2024-04-20,2024-05-05,Traffic,South,Drainage Dept,Low,4,15
C00925,2024-08-15,2024-09-02,Road,East,Roads Dept,Low,3,18
C00926,2024-04-20,2024-05-02,Water,North,Sanitation,Low,1,12
C00927,2024-02-03,2024-02-20,Traffic,South,Drainage Dept,Medium,3,17
C00928,2024-04-20,2024-04-21,Drainage,North,Water Dept,Medium,4,1
C00929,2024-09-20,2024-10-01,Drainage,South,Traffic Dept,High,5,11
C00930,2024-08-23,2024-09-20,Safety,Central,Drainage Dept,Low,2,28
C00931,2024-03-23,2024-03-24,Garbage,East,Electric Dept,High,2,1
C00932,2024-02-11,2024-02-26,Road,Central,Roads Dept,Low,5,15
C00933,2024-04-10,2024-05-08,Lights,South,Safety Dept,Low,1,28
C00934,2024-01-06,2024-01-27,Garbage,West,Safety Dept,High,3,21
C00935,2024-06-28,2024-07-08,Water,Central,Drainage Dept,Medium,3,10
C00936,2024-10-08,2024-10-15,Traffic,West,Water Dept,Medium,5,7
C00937,2024-11-15,2024-11-17,Garbage,South,Roads Dept,Medium,5,2
C00938,2024-08-13,2024-08-23,Lights,East,Water Dept,Low,4,10
C00939,2024-11-10,2024-12-04,Lights,West,Safety Dept,Medium,4,24
C00940,2024-12-30,2025-01-03,Drainage,South,Traffic Dept,High,2,4
C00941,2024-08-16,2024-08-28,Water,West,Safety Dept,Low,1,12
C00942,2024-10-15,2024-11-03,Garbage,Central,Traffic Dept,Medium,1,19
C00943,2024-05-29,2024-06-24,Road,South,Traffic Dept,Medium,5,26
C00944,2024-10-03,2024-10-14,Garbage,Central,Sanitation,Low,2,11
C00945,2024-07-16,2024-07-24,Drainage,North,Safety Dept,Low,2,8
C00946,2024-03-10,2024-03-28,Safety,South,Safety Dept,Low,4,18
C00947,2024-04-21,2024-05-02,Lights,West,Water Dept,Medium,3,11
C00948,2024-01-04,2024-01-15,Water,North,Drainage Dept,High,1,11
C00949,2024-12-15,2024-12-28,Water,Central,Electric Dept,Medium,2,13
C00950,2024-11-26,2024-11-29,Road,Central,Electric Dept,Low,4,3
C00951,2024-11-13,2024-11-25,Water,West,Traffic Dept,Medium,4,12
C00952,2024-12-15,2024-12-18,Drainage,North,Electric Dept,High,4,3
C00953,2024-04-04,2024-04-14,Drainage,East,Roads Dept,Low,3,10
C00954,2024-05-31,2024-06-27,Drainage,West,Water Dept,High,2,27
C00955,2024-11-06,2024-11-23,Water,Central,Water Dept,Medium,5,17
C00956,2024-05-16,2024-06-07,Water,South,Water Dept,Low,5,22
C00957,2024-09-03,2024-09-05,Drainage,North,Roads Dept,Low,4,2
C00958,2024-08-30,2024-09-16,Water,East,Drainage Dept,Medium,4,17
C00959,2024-01-31,2024-02-16,Water,South,Sanitation,Medium,3,16
C00960,2024-02-09,2024-02-11,Lights,North,Roads Dept,High,4,2
C00961,2024-08-16,2024-09-13,Garbage,West,Water Dept,Medium,2,28
C00962,2024-02-05,2024-02-27,Traffic,West,Water Dept,Low,4,22
C00963,2024-08-10,2024-08-30,Water,North,Safety Dept,Low,4,20
C00964,2024-01-06,2024-01-12,Traffic,East,Water Dept,Medium,2,6
C00965,2024-11-17,2024-12-15,Safety,North,Drainage Dept,Low,1,28
C00966,2024-08-07,2024-09-01,Traffic,South,Electric Dept,Medium,5,25
C00967,2024-03-15,2024-04-13,Lights,South,Sanitation,Low,4,29
C00968,2024-01-04,2024-01-14,Water,West,Roads Dept,Low,2,10
C00969,2024-11-30,2024-12-28,Drainage,North,Water Dept,Low,5,28
C00970,2024-05-13,2024-05-23,Traffic,West,Safety Dept,Low,3,10
C00971,2024-04-27,2024-05-05,Water,East,Safety Dept,Medium,1,8
C00972,2024-04-03,2024-04-04,Road,South,Traffic Dept,Low,4,1
C00973,2024-03-02,2024-03-15,Safety,Central,Sanitation,High,1,13
C00974,2024-07-12,2024-08-05,Drainage,Central,Safety Dept,Medium,4,24
C00975,2024-11-30,2024-12-09,Road,North,Traffic Dept,Low,4,9
C00976,2024-07-21,2024-08-12,Road,North,Sanitation,Low,4,22
C00977,2024-01-26,2024-02-05,Traffic,Central,Water Dept,Medium,1,10
C00978,2024-06-21,2024-07-06,Road,North,Sanitation,Low,3,15
C00979,2024-10-26,2024-10-31,Lights,South,Sanitation,High,2,5
C00980,2024-05-12,2024-06-03,Lights,East,Water Dept,Medium,2,22
C00981,2024-11-21,2024-12-07,Traffic,East,Drainage Dept,Low,3,16
C00982,2024-04-27,2024-05-10,Water,West,Safety Dept,Medium,3,13
C00983,2024-11-19,2024-12-11,Garbage,South,Traffic Dept,Low,4,22
C00984,2024-10-01,2024-10-26,Water,North,Drainage Dept,Low,4,25
C00985,2024-07-30,2024-08-19,Water,North,Traffic Dept,High,2,20
C00986,2024-08-12,2024-08-30,Water,West,Electric Dept,Low,4,18
C00987,2024-01-20,2024-01-31,Water,West,Safety Dept,Medium,4,11
C00988,2024-04-22,2024-05-19,Drainage,North,Traffic Dept,High,3,27
C00989,2024-05-19,2024-05-28,Garbage,North,Traffic Dept,Low,1,9
C00990,2024-02-16,2024-03-03,Drainage,South,Sanitation,Low,5,16
C00991,2024-01-01,2024-01-03,Road,West,Electric Dept,Low,5,2
C00992,2024-03-30,2024-04-25,Safety,South,Water Dept,Low,4,26
C00993,2024-05-21,2024-06-15,Water,North,Water Dept,Low,4,25
C00994,2024-11-15,2024-11-17,Safety,Central,Roads Dept,High,5,2
C00995,2024-02-07,2024-02-19,Lights,Central,Electric Dept,High,3,12
C00996,2024-10-19,2024-10-27,Traffic,North,Sanitation,Medium,5,8
C00997,2024-05-18,2024-05-27,Traffic,West,Roads Dept,Low,5,9
C00998,2024-12-21,2025-01-02,Drainage,Central,Roads Dept,High,5,12
C00999,2024-11-28,2024-12-24,Drainage,West,Water Dept,Medium,4,26
C01000,2024-09-15,2024-09-24,Lights,Central,Traffic Dept,Low,4,9
C01001,2024-06-09,2024-06-19,Water,West,Sanitation,Low,5,10
C01002,2024-06-26,2024-07-21,Safety,Central,Electric Dept,Low,4,25
C01003,2024-01-10,2024-01-12,Safety,West,Roads Dept,High,5,2
C01004,2024-09-17,2024-10-03,Garbage,South,Sanitation,Medium,3,16
C01005,2024-05-17,2024-06-06,Road,West,Water Dept,Medium,4,20
C01006,2024-06-20,2024-06-27,Traffic,South,Roads Dept,Medium,1,7
C01007,2024-01-13,2024-02-10,Road,South,Roads Dept,Medium,4,28
C01008,2024-06-16,2024-06-18,Garbage,North,Drainage Dept,Low,3,2
C01009,2024-05-09,2024-05-10,Drainage,South,Water Dept,Medium,3,1
C01010,2024-03-24,2024-04-12,Safety,East,Drainage Dept,High,4,19
C01011,2024-11-16,2024-12-14,Traffic,South,Water Dept,Low,2,28
C01012,2024-11-14,2024-11-18,Road,West,Water Dept,High,5,4
C01013,2024-04-10,2024-05-04,Drainage,South,Drainage Dept,Low,5,24
C01014,2024-11-24,2024-12-16,Garbage,West,Safety Dept,Low,3,22
C01015,2024-09-29,2024-10-26,Road,West,Sanitation,Medium,4,27
C01016,2024-09-21,2024-09-23,Safety,East,Sanitation,High,2,2
C01017,2024-02-07,2024-03-03,Water,South,Safety Dept,Low,1,25
C01018,2024-04-03,2024-04-17,Drainage,South,Sanitation,Medium,5,14
C01019,2024-04-04,2024-04-06,Garbage,Central,Traffic Dept,Low,2,2
C01020,2024-10-31,2024-11-29,Road,Central,Roads Dept,Medium,5,29
C01021,2024-03-09,2024-03-24,Safety,North,Sanitation,Low,4,15
C01022,2024-11-13,2024-11-25,Water,West,Traffic Dept,Low,5,12
C01023,2024-08-23,2024-08-28,Water,East,Roads Dept,Low,1,5
C01024,2024-11-29,2024-12-27,Garbage,Central,Sanitation,Low,4,28
C01025,2024-05-16,2024-06-05,Lights,South,Water Dept,Low,3,20
C01026,2024-03-16,2024-04-14,Safety,North,Safety Dept,Medium,2,29
C01027,2024-02-04,2024-02-11,Safety,East,Electric Dept,Low,5,7
C01028,2024-01-01,2024-01-25,Traffic,South,Sanitation,Low,4,24
C01029,2024-10-22,2024-11-12,Garbage,South,Electric Dept,Low,4,21
C01030,2024-11-15,2024-11-25,Water,West,Sanitation,Low,5,10
C01031,2024-02-29,2024-03-14,Water,West,Water Dept,Low,3,14
C01032,2024-11-15,2024-11-29,Garbage,Central,Safety Dept,Low,5,14
C01033,2024-12-14,2024-12-19,Lights,Central,Safety Dept,Low,3,5
C01034,2024-11-23,2024-12-11,Traffic,South,Electric Dept,Low,5,18
C01035,2024-09-23,2024-10-17,Road,South,Traffic Dept,Medium,4,24
C01036,2024-12-26,2025-01-09,Garbage,Central,Water Dept,Medium,1,14
C01037,2024-08-16,2024-08-18,Traffic,Central,Electric Dept,Low,1,2
C01038,2024-09-26,2024-10-22,Safety,South,Electric Dept,Low,4,26
C01039,2024-11-11,2024-11-23,Traffic,East,Drainage Dept,Low,1,12
C01040,2024-10-12,2024-11-03,Drainage,South,Drainage Dept,Low,3,22
C01041,2024-10-17,2024-11-10,Water,East,Water Dept,Low,4,24
C01042,2024-07-31,2024-08-06,Road,East,Water Dept,Medium,3,6
C01043,2024-06-13,2024-06-17,Garbage,South,Water Dept,Low,4,4
C01044,2024-01-05,2024-01-18,Water,North,Roads Dept,High,3,13
C01045,2024-12-04,2024-12-08,Drainage,Central,Traffic Dept,Low,3,4
C01046,2024-03-18,2024-04-09,Drainage,West,Sanitation,Medium,1,22
C01047,2024-03-02,2024-03-16,Water,South,Drainage Dept,Medium,4,14
C01048,2024-05-11,2024-05-27,Lights,East,Safety Dept,Low,5,16
C01049,2024-03-29,2024-04-27,Traffic,South,Safety Dept,Low,1,29
C01050,2024-08-24,2024-08-28,Garbage,Central,Electric Dept,Medium,3,4
C01051,2024-02-11,2024-03-06,Garbage,East,Drainage Dept,High,3,24
C01052,2024-03-29,2024-04-23,Garbage,West,Sanitation,Low,5,25
C01053,2024-10-22,2024-10-23,Water,West,Water Dept,Low,5,1
C01054,2024-11-23,2024-12-06,Safety,West,Safety Dept,Low,3,13
C01055,2024-10-21,2024-10-25,Lights,North,Drainage Dept,Low,5,4
C01056,2024-04-13,2024-05-03,Road,East,Traffic Dept,High,2,20
C01057,2024-01-14,2024-02-01,Drainage,East,Traffic Dept,Medium,1,18
C01058,2024-10-14,2024-10-20,Water,North,Roads Dept,Low,4,6
C01059,2024-06-27,2024-06-30,Safety,East,Drainage Dept,Low,5,3
C01060,2024-05-04,2024-05-27,Road,North,Water Dept,Low,5,23
C01061,2024-12-18,2024-12-31,Drainage,South,Electric Dept,High,2,13
C01062,2024-01-23,2024-02-19,Drainage,Central,Roads Dept,High,4,27
C01063,2024-03-03,2024-03-19,Lights,West,Water Dept,Low,2,16
C01064,2024-05-22,2024-06-18,Traffic,North,Roads Dept,Low,4,27
C01065,2024-06-01,2024-06-06,Garbage,North,Drainage Dept,High,1,5
C01066,2024-05-24,2024-05-28,Road,North,Sanitation,Low,5,4
C01067,2024-08-12,2024-09-02,Water,South,Safety Dept,Low,1,21
C01068,2024-11-04,2024-11-12,Road,North,Drainage Dept,Low,4,8
C01069,2024-04-13,2024-05-02,Traffic,Central,Water Dept,Low,5,19
C01070,2024-04-13,2024-04-27,Garbage,Central,Electric Dept,Low,2,14
C01071,2024-02-08,2024-02-15,Road,West,Electric Dept,High,3,7
C01072,2024-07-16,2024-07-30,Traffic,South,Water Dept,Medium,2,14
C01073,2024-05-13,2024-05-19,Water,Central,Roads Dept,Low,3,6
C01074,2024-03-07,2024-03-19,Lights,East,Traffic Dept,Low,2,12
C01075,2024-06-27,2024-07-13,Safety,East,Water Dept,Medium,4,16
C01076,2024-02-11,2024-02-28,Drainage,East,Safety Dept,Low,1,17
C01077,2024-01-15,2024-01-28,Water,North,Drainage Dept,Low,3,13
C01078,2024-04-20,2024-05-13,Garbage,North,Electric Dept,Low,4,23
C01079,2024-06-05,2024-06-19,Drainage,East,Sanitation,Medium,1,14
C01080,2024-10-15,2024-11-13,Safety,West,Electric Dept,Low,1,29
C01081,2024-08-18,2024-08-25,Water,West,Traffic Dept,Low,5,7
C01082,2024-06-05,2024-06-19,Water,North,Electric Dept,Low,5,14
C01083,2024-02-07,2024-02-22,Water,East,Traffic Dept,Low,5,15
C01084,2024-04-06,2024-04-18,Water,West,Safety Dept,High,3,12
C01085,2024-10-15,2024-11-01,Drainage,North,Water Dept,Medium,3,17
C01086,2024-09-10,2024-09-19,Garbage,East,Electric Dept,Low,1,9
C01087,2024-07-14,2024-08-05,Safety,South,Roads Dept,Low,3,22
C01088,2024-03-26,2024-04-10,Traffic,East,Drainage Dept,Medium,1,15
C01089,2024-11-17,2024-11-29,Road,East,Roads Dept,Low,4,12
C01090,2024-01-10,2024-01-12,Lights,Central,Drainage Dept,Medium,2,2
C01091,2024-01-05,2024-01-10,Safety,Central,Electric Dept,Medium,1,5
C01092,2024-05-02,2024-05-15,Road,South,Safety Dept,Low,1,13
C01093,2024-11-25,2024-12-22,Road,South,Electric Dept,High,4,27
C01094,2024-12-18,2025-01-07,Lights,East,Drainage Dept,Low,5,20
C01095,2024-04-27,2024-05-20,Safety,West,Safety Dept,Low,5,23
C01096,2024-10-20,2024-10-28,Drainage,South,Sanitation,Medium,5,8
C01097,2024-06-07,2024-07-04,Garbage,East,Safety Dept,High,1,27
C01098,2024-10-29,2024-11-12,Lights,North,Electric Dept,Medium,1,14
C01099,2024-08-15,2024-08-30,Garbage,Central,Sanitation,Medium,3,15
C01100,2024-12-30,2025-01-10,Drainage,West,Sanitation,Low,3,11
C01101,2024-08-03,2024-08-04,Road,East,Drainage Dept,Low,2,1
C01102,2024-07-02,2024-07-23,Garbage,North,Sanitation,Low,2,21
C01103,2024-01-15,2024-01-18,Drainage,Central,Sanitation,Medium,3,3
C01104,2024-06-05,2024-06-22,Drainage,North,Water Dept,Low,1,17
C01105,2024-05-15,2024-06-12,Traffic,East,Safety Dept,Low,4,28
C01106,2024-09-17,2024-10-06,Lights,South,Roads Dept,High,3,19
C01107,2024-06-05,2024-06-19,Traffic,Central,Sanitation,Low,1,14
C01108,2024-02-16,2024-03-09,Road,North,Roads Dept,Low,3,22
C01109,2024-11-19,2024-12-12,Lights,South,Sanitation,Low,5,23
C01110,2024-11-27,2024-12-05,Road,West,Roads Dept,Low,3,8
C01111,2024-06-21,2024-07-04,Traffic,East,Electric Dept,Low,5,13
C01112,2024-05-09,2024-06-05,Safety,East,Electric Dept,Low,1,27
C01113,2024-04-04,2024-04-24,Drainage,Central,Roads Dept,Low,5,20
C01114,2024-04-24,2024-04-27,Road,North,Safety Dept,Low,3,3
C01115,2024-08-30,2024-09-04,Lights,West,Sanitation,Low,5,5
C01116,2024-10-18,2024-10-27,Lights,Central,Water Dept,Low,4,9
C01117,2024-10-08,2024-11-06,Road,Central,Safety Dept,Low,5,29
C01118,2024-10-25,2024-10-31,Lights,North,Roads Dept,Low,5,6
C01119,2024-10-09,2024-11-03,Drainage,West,Safety Dept,Low,2,25
C01120,2024-03-09,2024-03-31,Safety,North,Traffic Dept,High,4,22
C01121,2024-05-27,2024-05-29,Drainage,East,Water Dept,High,1,2
C01122,2024-01-11,2024-01-24,Lights,South,Traffic Dept,Low,5,13
C01123,2024-09-10,2024-09-15,Road,East,Roads Dept,Low,4,5
C01124,2024-11-25,2024-12-23,Traffic,East,Sanitation,Medium,1,28
C01125,2024-12-25,2025-01-21,Lights,Central,Safety Dept,Medium,4,27
C01126,2024-02-07,2024-03-03,Lights,East,Safety Dept,High,2,25
C01127,2024-05-13,2024-05-21,Lights,West,Traffic Dept,Low,1,8
C01128,2024-07-18,2024-08-10,Lights,East,Safety Dept,Medium,1,23
C01129,2024-01-23,2024-01-24,Road,West,Roads Dept,High,5,1
C01130,2024-10-29,2024-11-18,Traffic,North,Water Dept,Low,3,20
C01131,2024-12-11,2024-12-23,Traffic,Central,Sanitation,Low,1,12
C01132,2024-10-28,2024-11-20,Garbage,West,Traffic Dept,Low,1,23
C01133,2024-12-28,2025-01-08,Lights,East,Safety Dept,Low,2,11
C01134,2024-08-05,2024-08-12,Lights,Central,Roads Dept,Low,2,7
C01135,2024-05-20,2024-06-04,Garbage,Central,Sanitation,Medium,2,15
C01136,2024-04-13,2024-05-05,Traffic,West,Sanitation,Low,5,22
C01137,2024-07-28,2024-08-21,Water,West,Electric Dept,Low,1,24
C01138,2024-04-20,2024-05-01,Drainage,South,Sanitation,High,2,11
C01139,2024-04-13,2024-05-12,Water,South,Roads Dept,Low,2,29
C01140,2024-11-11,2024-12-03,Traffic,Central,Water Dept,Low,4,22
C01141,2024-06-19,2024-07-15,Safety,South,Drainage Dept,Low,4,26
C01142,2024-12-21,2025-01-06,Lights,East,Electric Dept,Low,2,16
C01143,2024-11-19,2024-11-22,Water,North,Roads Dept,Low,5,3
C01144,2024-05-12,2024-06-01,Road,Central,Roads Dept,High,3,20
C01145,2024-10-19,2024-11-02,Road,North,Roads Dept,Low,4,14
C01146,2024-11-23,2024-11-26,Garbage,South,Traffic Dept,Medium,4,3
C01147,2024-05-06,2024-05-07,Traffic,West,Safety Dept,Low,1,1
C01148,2024-04-15,2024-05-11,Traffic,Central,Traffic Dept,High,1,26
C01149,2024-04-01,2024-04-22,Water,South,Water Dept,Medium,2,21
C01150,2024-10-13,2024-10-28,Lights,East,Roads Dept,High,1,15
C01151,2024-02-20,2024-02-21,Traffic,Central,Safety Dept,Low,1,1
C01152,2024-01-29,2024-02-15,Water,Central,Traffic Dept,High,3,17
C01153,2024-10-22,2024-10-24,Water,West,Traffic Dept,High,5,2
C01154,2024-10-23,2024-11-21,Drainage,Central,Traffic Dept,Medium,2,29
C01155,2024-08-01,2024-08-21,Drainage,West,Water Dept,Low,3,20
C01156,2024-09-23,2024-09-29,Traffic,South,Water Dept,Low,2,6
C01157,2024-09-13,2024-09-21,Water,East,Roads Dept,Low,5,8
C01158,2024-10-28,2024-11-26,Garbage,East,Electric Dept,Low,2,29
C01159,2024-04-10,2024-04-26,Garbage,Central,Roads Dept,Medium,1,16
C01160,2024-12-11,2024-12-30,Drainage,Central,Traffic Dept,Medium,5,19
C01161,2024-04-19,2024-04-20,Traffic,South,Drainage Dept,Medium,3,1
C01162,2024-06-30,2024-07-03,Lights,West,Safety Dept,Low,3,3
C01163,2024-11-08,2024-12-06,Safety,East,Traffic Dept,Low,4,28
C01164,2024-01-01,2024-01-04,Garbage,West,Sanitation,Low,3,3
C01165,2024-11-14,2024-11-19,Garbage,South,Drainage Dept,Low,4,5
C01166,2024-02-24,2024-03-22,Drainage,East,Drainage Dept,Medium,1,27
C01167,2024-05-28,2024-06-09,Drainage,East,Safety Dept,Low,3,12
C01168,2024-11-04,2024-11-16,Traffic,North,Roads Dept,Medium,5,12
C01169,2024-05-16,2024-06-05,Drainage,South,Traffic Dept,Low,4,20
C01170,2024-07-20,2024-08-02,Road,South,Traffic Dept,High,3,13
C01171,2024-11-08,2024-11-28,Safety,North,Electric Dept,Low,1,20
C01172,2024-04-26,2024-05-05,Water,West,Sanitation,Low,5,9
C01173,2024-06-02,2024-06-09,Garbage,North,Roads Dept,Low,5,7
C01174,2024-10-17,2024-10-21,Road,South,Water Dept,Low,1,4
C01175,2024-03-03,2024-03-22,Lights,West,Roads Dept,Medium,3,19
C01176,2024-08-31,2024-09-22,Road,East,Drainage Dept,Medium,2,22
C01177,2024-01-25,2024-02-13,Traffic,North,Roads Dept,Low,3,19
C01178,2024-03-30,2024-04-05,Lights,West,Electric Dept,Low,4,6
C01179,2024-03-15,2024-04-11,Lights,West,Roads Dept,Medium,4,27
C01180,2024-10-20,2024-11-02,Drainage,West,Electric Dept,Low,3,13
C01181,2024-07-28,2024-08-08,Road,North,Drainage Dept,Low,4,11
C01182,2024-12-12,2024-12-25,Traffic,East,Electric Dept,High,2,13
C01183,2024-01-17,2024-01-30,Garbage,West,Safety Dept,Low,2,13
C01184,2024-05-07,2024-06-04,Safety,North,Safety Dept,Medium,5,28
C01185,2024-12-29,2025-01-23,Drainage,South,Traffic Dept,Medium,4,25
C01186,2024-09-07,2024-09-29,Road,North,Water Dept,High,3,22
C01187,2024-06-27,2024-07-25,Garbage,North,Drainage Dept,Medium,5,28
C01188,2024-06-30,2024-07-20,Road,North,Electric Dept,Low,2,20
C01189,2024-05-31,2024-06-15,Drainage,West,Sanitation,Low,5,15
C01190,2024-01-25,2024-02-15,Garbage,North,Drainage Dept,High,1,21
C01191,2024-06-28,2024-07-11,Drainage,South,Sanitation,Low,4,13
C01192,2024-07-16,2024-08-07,Road,West,Water Dept,Medium,3,22
C01193,2024-12-09,2024-12-20,Lights,South,Electric Dept,High,2,11
C01194,2024-06-09,2024-06-28,Safety,Central,Drainage Dept,Medium,5,19
C01195,2024-06-25,2024-07-03,Water,North,Drainage Dept,Low,3,8
C01196,2024-10-11,2024-10-31,Safety,West,Water Dept,Low,4,20
C01197,2024-03-03,2024-03-11,Lights,West,Traffic Dept,Low,3,8
C01198,2024-05-29,2024-06-08,Drainage,North,Sanitation,Low,4,10
C01199,2024-06-02,2024-06-28,Safety,East,Drainage Dept,High,4,26
C01200,2024-06-04,2024-06-20,Drainage,East,Roads Dept,Medium,4,16
C01201,2024-02-18,2024-03-08,Drainage,South,Sanitation,Medium,5,19
C01202,2024-12-02,2024-12-28,Garbage,North,Electric Dept,Low,4,26
C01203,2024-03-24,2024-04-16,Traffic,North,Water Dept,Low,3,23
C01204,2024-12-26,2025-01-06,Drainage,Central,Sanitation,Low,1,11
C01205,2024-06-25,2024-07-08,Safety,East,Roads Dept,Low,3,13
C01206,2024-05-27,2024-06-24,Safety,East,Safety Dept,Low,5,28
C01207,2024-04-27,2024-05-06,Safety,North,Roads Dept,Low,4,9
C01208,2024-12-07,2024-12-27,Lights,South,Water Dept,Low,1,20
C01209,2024-03-03,2024-03-27,Water,North,Water Dept,Low,5,24
C01210,2024-07-07,2024-07-26,Drainage,South,Safety Dept,High,2,19
C01211,2024-12-25,2025-01-10,Drainage,East,Sanitation,Low,2,16
C01212,2024-02-18,2024-02-25,Drainage,Central,Electric Dept,Medium,2,7
C01213,2024-11-22,2024-12-11,Garbage,West,Traffic Dept,Low,1,19
C01214,2024-09-13,2024-09-25,Drainage,East,Roads Dept,Low,3,12
C01215,2024-08-11,2024-08-26,Lights,South,Water Dept,Low,1,15
C01216,2024-05-20,2024-06-12,Road,North,Traffic Dept,Medium,1,23
C01217,2024-08-02,2024-08-16,Traffic,East,Traffic Dept,Low,1,14
C01218,2024-07-29,2024-08-09,Safety,Central,Traffic Dept,Low,2,11
C01219,2024-11-13,2024-12-09,Drainage,South,Electric Dept,High,3,26
C01220,2024-02-01,2024-02-11,Garbage,North,Water Dept,Low,1,10
C01221,2024-06-06,2024-07-03,Lights,West,Roads Dept,Low,3,27
C01222,2024-10-11,2024-10-22,Drainage,South,Water Dept,Low,4,11
C01223,2024-10-31,2024-11-06,Garbage,North,Sanitation,Low,1,6
C01224,2024-10-12,2024-10-14,Road,West,Roads Dept,Medium,1,2
C01225,2024-05-23,2024-06-03,Water,North,Water Dept,Medium,1,11
C01226,2024-01-19,2024-02-07,Drainage,West,Roads Dept,Low,4,19
C01227,2024-01-18,2024-01-24,Lights,West,Sanitation,Low,4,6
C01228,2024-09-13,2024-09-27,Garbage,West,Drainage Dept,Medium,2,14
C01229,2024-03-18,2024-04-07,Garbage,North,Roads Dept,Low,5,20
C01230,2024-06-23,2024-06-29,Drainage,West,Drainage Dept,High,3,6
C01231,2024-07-12,2024-07-29,Garbage,South,Traffic Dept,Low,5,17
C01232,2024-04-22,2024-05-02,Water,Central,Safety Dept,Medium,1,10
C01233,2024-04-23,2024-05-21,Garbage,Central,Electric Dept,High,1,28
C01234,2024-08-09,2024-08-10,Safety,West,Sanitation,Medium,2,1
C01235,2024-06-14,2024-06-17,Traffic,Central,Roads Dept,Low,5,3
C01236,2024-11-14,2024-11-22,Safety,Central,Sanitation,Medium,1,8
C01237,2024-05-11,2024-05-19,Traffic,West,Traffic Dept,Medium,5,8
C01238,2024-09-20,2024-10-17,Garbage,West,Drainage Dept,Medium,2,27
C01239,2024-02-24,2024-03-15,Drainage,South,Electric Dept,Low,5,20
C01240,2024-12-24,2025-01-15,Traffic,East,Sanitation,Medium,3,22
C01241,2024-05-10,2024-05-25,Lights,North,Drainage Dept,Low,2,15
